idx,isrc,jsrc,dsrc,qbar,lon,lat,py_col,py_row,face_mask,rho_recv,rho_send,lon_face,lat_face,status
1,121,412,0,1.00000,9.87300,37.28900,120,411,1.00000,1.00000,1.00000,9.88306,37.28181,mar_abierto
2,135,409,0,1.00000,10.08300,37.24500,134,408,1.00000,1.00000,1.00000,10.10181,37.24450,mar_abierto
3,146,401,0,1.00000,10.21900,37.15500,145,400,1.00000,1.00000,1.00000,10.27369,37.14492,mar_abierto
4,141,392,0,1.00000,10.18100,37.03400,140,391,1.00000,1.00000,1.00000,10.19556,37.03273,mar_abierto
5,143,387,0,1.00000,10.20500,36.98300,142,386,1.00000,1.00000,1.00000,10.22681,36.97034,mar_abierto
6,144,384,0,1.00000,10.24900,36.94400,143,383,1.00000,1.00000,1.00000,10.24244,36.93287,mar_abierto
7,150,383,0,1.00000,10.31100,36.92100,149,382,1.00000,1.00000,1.00000,10.33619,36.92038,mar_abierto
8,148,370,0,1.00000,10.29800,36.76500,147,369,1.00000,1.00000,1.00000,10.30494,36.75780,mar_abierto
9,151,369,0,1.00000,10.32600,36.74000,150,368,1.00000,1.00000,1.00000,10.35181,36.74528,mar_abierto
10,153,368,1,1.00000,10.37500,36.71900,152,367,1.00000,1.00000,1.00000,10.37525,36.73902,mar_abierto
11,156,368,0,1.00000,10.43100,36.72000,155,367,1.00000,1.00000,1.00000,10.42994,36.73276,mar_abierto
12,163,373,0,1.00000,10.56100,36.79700,162,372,1.00000,1.00000,1.00000,10.53931,36.79535,mar_abierto
13,191,394,0,1.00000,10.97600,37.05100,190,393,1.00000,1.00000,1.00000,10.97681,37.05768,mar_abierto
14,198,374,1,-1.00000,11.08600,36.83100,197,373,1.00000,1.00000,1.00000,11.07838,36.81412,mar_abierto
15,195,372,1,-1.00000,11.03300,36.79700,194,371,1.00000,1.00000,1.00000,11.03150,36.78909,mar_abierto
16,193,368,1,-1.00000,10.99800,36.75700,192,367,1.00000,1.00000,1.00000,11.00025,36.73902,mar_abierto
17,184,352,1,-1.00000,10.85600,36.55300,183,351,1.00000,1.00000,1.00000,10.85963,36.53840,mar_abierto
18,181,346,1,-1.00000,10.81100,36.47000,180,345,1.00000,1.00000,1.00000,10.81275,36.46303,mar_abierto
19,179,344,1,-1.00000,10.79500,36.45300,178,343,1.00000,1.00000,1.00000,10.78150,36.43790,mar_abierto
20,175,343,1,-1.00000,10.72600,36.44000,174,342,1.00000,1.00000,1.00000,10.71900,36.42532,mar_abierto
21,161,333,0,1.00000,10.50500,36.30800,160,332,1.00000,1.00000,1.00000,10.50806,36.29319,mar_abierto
22,161,333,0,1.00000,10.50300,36.30600,160,332,1.00000,1.00000,1.00000,10.50806,36.29319,mar_abierto
