idx,isrc,jsrc,py_col,py_row,dsrc,qbar,lon,lat,on_land,dist_coast_km,status,face_mask,rho_receptor
1,121,412,120,411,0,1.0000,9.8730,37.2890,False,1.2796,oceano,,
2,135,409,134,408,0,1.0000,10.0830,37.2450,False,0.1008,oceano,,
3,146,401,145,400,0,1.0000,10.2190,37.1550,False,0.7816,oceano,,
4,141,392,140,391,0,1.0000,10.1810,37.0340,True,0.0268,costera,,
5,143,387,142,386,0,1.0000,10.2050,36.9830,True,0.9160,costera,,
6,144,384,143,383,0,1.0000,10.2490,36.9440,True,0.7547,costera,,
7,150,383,149,382,0,1.0000,10.3110,36.9210,False,0.0977,oceano,,
8,148,370,147,369,0,1.0000,10.2980,36.7650,True,0.5950,costera,,
9,151,369,150,368,0,1.0000,10.3260,36.7400,True,0.5772,costera,,
10,153,368,152,367,1,1.0000,10.3750,36.7190,True,1.1427,costera,,
11,156,368,155,367,0,1.0000,10.4310,36.7200,True,1.0042,costera,,
12,163,373,162,372,0,1.0000,10.5610,36.7970,True,1.6848,tierra,,
13,191,394,190,393,0,1.0000,10.9760,37.0510,True,1.1581,costera,,
14,198,374,197,373,1,-1.0000,11.0860,36.8310,True,0.2900,costera,,
15,195,372,194,371,1,-1.0000,11.0330,36.7970,True,0.1270,costera,,
16,193,368,192,367,1,-1.0000,10.9980,36.7570,True,0.2958,costera,,
17,184,352,183,351,1,-1.0000,10.8560,36.5530,True,0.5904,costera,,
18,181,346,180,345,1,-1.0000,10.8110,36.4700,True,0.4589,costera,,
19,179,344,178,343,1,-1.0000,10.7950,36.4530,True,0.2333,costera,,
20,175,343,174,342,1,-1.0000,10.7260,36.4400,True,0.3907,costera,,
21,161,333,160,332,0,1.0000,10.5050,36.3080,True,0.3197,costera,,
22,161,333,160,332,0,1.0000,10.5030,36.3060,True,0.4500,costera,,
23,164,307,163,306,0,1.0000,10.5390,35.9650,False,0.7176,oceano,,
24,165,306,164,305,0,1.0000,10.5460,35.9530,False,0.4273,oceano,,
25,169,299,168,298,0,1.0000,10.6060,35.8730,False,0.4391,oceano,,
26,162,308,161,307,0,1.0000,10.5330,35.9760,False,0.9683,oceano,,
27,188,284,187,283,1,1.0000,10.8700,35.6830,True,0.4669,costera,,
28,198,269,197,268,0,1.0000,11.0590,35.4900,True,0.2066,costera,,
29,178,208,177,207,0,1.0000,10.7530,34.7250,True,1.6553,tierra,,
30,137,145,136,144,0,1.0000,10.1130,33.8950,True,0.0905,costera,,
31,138,144,137,143,0,1.0000,10.1220,33.8830,True,0.1770,costera,,
32,140,141,139,140,0,1.0000,10.1540,33.8440,True,0.2239,costera,,
33,151,131,150,130,1,1.0000,10.3310,33.7080,False,0.4951,oceano,,
34,155,129,154,128,1,1.0000,10.3850,33.6800,False,0.2357,oceano,,
35,157,127,156,126,1,1.0000,10.4160,33.6640,True,0.2511,costera,,
36,122,411,121,410,1,1.0000,9.8900,37.2750,False,1.3955,oceano,,
37,123,411,122,410,1,1.0000,9.8930,37.2640,False,0.2529,oceano,,
38,135,409,134,408,1,1.0000,10.0950,37.2380,True,0.5125,costera,,
39,186,391,185,390,1,1.0000,10.9070,37.0220,True,1.0056,costera,,
40,184,352,183,351,0,1.0000,10.8590,36.5680,True,1.0314,costera,,
41,172,295,171,294,0,1.0000,10.6490,35.8130,True,0.7938,costera,,
42,175,292,174,291,1,1.0000,10.7140,35.7740,True,0.5242,costera,,
43,198,269,197,268,0,1.0000,11.0600,35.4950,True,0.5887,costera,,
44,198,268,197,267,0,1.0000,11.0590,35.4910,True,0.2961,costera,,
45,201,248,200,247,1,1.0000,11.1560,35.2290,True,0.4439,costera,,
46,195,240,194,239,0,1.0000,11.0300,35.1220,True,1.3050,costera,,
47,194,233,193,232,0,1.0000,11.0130,35.0290,True,0.0055,costera,,
48,179,209,178,208,0,1.0000,10.7780,34.7300,False,0.4418,oceano,,
49,177,205,176,204,0,1.0000,10.7460,34.6800,False,1.1553,oceano,,
50,176,204,175,203,0,1.0000,10.7390,34.6710,False,1.1262,oceano,,
51,171,201,170,200,0,1.0000,10.6500,34.6350,False,0.7639,oceano,,
52,170,200,169,199,0,1.0000,10.6430,34.6300,False,1.0971,oceano,,
53,170,200,169,199,0,1.0000,10.6410,34.6270,False,1.3607,oceano,,
54,168,198,167,197,0,1.0000,10.6010,34.5780,True,0.5628,costera,,
55,167,194,166,193,0,1.0000,10.5930,34.5400,False,0.1374,oceano,,
56,147,185,146,184,1,-1.0000,10.2840,34.4290,True,1.7242,tierra,,
57,136,148,135,147,0,1.0000,10.0930,33.9280,False,0.5523,oceano,,
58,136,147,135,146,0,1.0000,10.0960,33.9210,False,0.3101,oceano,,
59,176,131,175,130,0,1.0000,10.7430,33.7210,True,0.5282,costera,,
60,201,113,200,112,0,1.0000,11.1170,33.4910,False,0.0533,oceano,,
61,146,388,145,387,0,1.0000,10.2640,37.0040,False,5.4452,oceano,,
62,197,390,196,389,0,1.0000,11.0580,37.0090,False,0.1765,oceano,,
63,178,344,177,343,0,1.0000,10.7680,36.4500,True,0.5216,costera,,
64,172,342,171,341,0,1.0000,10.6820,36.4250,True,0.6602,costera,,
65,183,287,182,286,0,1.0000,10.8190,35.7290,True,0.7130,costera,,
66,198,266,197,265,0,1.0000,11.0320,35.1610,True,3.3401,tierra,,
67,194,233,193,232,0,1.0000,11.0540,35.1600,True,1.2154,costera,,
68,196,236,195,235,0,1.0000,10.9220,34.7990,False,5.6172,oceano,,
69,168,198,167,197,0,1.0000,10.4930,34.5160,True,0.0786,costera,,
70,160,192,159,191,0,1.0000,10.5810,34.5960,True,2.9489,tierra,,
71,208,206,207,205,0,1.0000,11.1580,34.7370,False,1.5461,oceano,,
72,176,133,175,132,0,-1.0000,10.7290,33.7680,True,0.1117,costera,,
73,182,146,181,145,1,1.0000,10.8390,33.8920,False,0.8293,oceano,,
74,191,131,190,130,0,1.0000,10.9410,33.6980,False,1.0493,oceano,,
75,199,122,198,121,0,1.0000,11.0770,33.5950,False,0.3368,oceano,,
76,201,113,200,112,0,1.0000,11.1150,33.4780,False,0.6498,oceano,,
77,201,99,200,98,0,1.0000,11.0650,33.3150,True,6.8276,tierra,,
